연도,날짜,시간,경기,TV,라디오,구장,비고
2025,03.22,14:00,롯데2vs12LG,K-2T,,잠실,-
2025,03.22,14:00,두산5vs6SSG,MS-TSPO-TSPO-2T,,문학,-
2025,03.22,14:00,키움5vs13삼성,SS-TKN-T,,대구,-
2025,03.22,14:00,한화4vs3KT,S-T,,수원,-
2025,03.22,14:00,NC2vs9KIA,M-T,,광주,-
2025,03.23,14:00,롯데2vs10LG,KN-T,,잠실,-
2025,03.23,14:00,두산2vs5SSG,SPO-T,,문학,-
2025,03.23,14:00,키움7vs11삼성,SPO-2T,,대구,-
2025,03.23,14:00,한화4vs5KT,MS-T,,수원,-
2025,03.23,14:00,NC5vs4KIA,SS-T,,광주,-
2025,03.25,18:30,한화0vs5LG,SS-T,,잠실,-
2025,03.25,18:30,롯데3vs2SSG,TVING,,문학,-
2025,03.25,18:30,NC5vs14삼성,MS-T,,대구,-
2025,03.25,18:30,두산3vs8KT,SPO-2T,,수원,-
2025,03.25,18:30,키움6vs11KIA,SPO-T,,광주,-
2025,03.26,18:30,한화0vs4LG,SS-T,,잠실,-
2025,03.26,18:30,롯데1vs3SSG,TVING,,문학,-
2025,03.26,18:30,NC8vs6삼성,MS-T,,대구,-
2025,03.26,18:30,두산3vs2KT,SPO-2T,,수원,-
2025,03.26,18:30,키움17vs10KIA,SPO-T,,광주,-
2025,03.27,18:30,한화1vs2LG,SS-T,,잠실,-
2025,03.27,18:30,롯데2vs5SSG,TVING,,문학,-
2025,03.27,18:30,NC11vs5삼성,MS-T,,대구,-
2025,03.27,18:30,두산3vs4KT,SPO-2T,,수원,-
2025,03.27,18:30,키움5vs3KIA,SPO-T,,광주,-
2025,03.28,18:30,삼성0vs2두산,SPO-T,,잠실,-
2025,03.28,18:30,KT2vs0롯데,TVING,,사직,-
2025,03.28,18:30,LG8vs4NC,KN-T,,창원,-
2025,03.28,18:30,SSG3vs9키움,MS-T,,고척,-
2025,03.28,18:30,KIA2vs7한화,SPO-2T,,대전(신),-
2025,03.29,14:00,SSG1vs3키움,S-T,,고척,-
2025,03.29,14:00,KIA4vs5한화,K-2T,,대전(신),-
2025,03.29,17:00,삼성13vs2두산,SPO-TSS-T,,잠실,-
2025,03.29,17:00,KT1vs3롯데,KN-TMS-T,,사직,-
2025,03.29,17:00,LG14vs4NC,SPO-2T,,창원,-
2025,03.30,14:00,삼성3vs2두산,SPO-T,,잠실,-
2025,03.30,14:00,KT4vs4롯데,TVING,,사직,-
2025,03.30,14:00,LGvsNC,SPO-2T,,창원,기타
2025,03.30,14:00,SSG8vs2키움,KN-TMS-T,,고척,-
2025,03.30,14:00,KIA5vs3한화,M-T,,대전(신),-
2025,04.01,18:30,키움vs두산,SS-T,,잠실,기타
2025,04.01,18:30,SSGvsNC,TVING,,창원,기타
2025,04.01,18:30,LGvsKT,SPO-T,,수원,기타
2025,04.01,18:30,삼성vsKIA,MS-T,,광주,기타
2025,04.01,18:30,롯데vs한화,SPO-2T,,대전(신),기타
2025,04.02,18:30,키움3vs5두산,TVING,,잠실,-
2025,04.02,18:30,SSGvsNC,KN-T,,창원,기타
2025,04.02,18:30,LG5vs9KT,SPO-T,,수원,-
2025,04.02,18:30,삼성4vs2KIA,MS-T,,광주,-
2025,04.02,18:30,롯데6vs2한화,SPO-2T,,대전(신),-
2025,04.03,18:30,키움1vs6두산,TVING,,잠실,-
2025,04.03,18:30,SSGvsNC,KN-T,,창원,기타
2025,04.03,18:30,LG5vs1KT,SPO-T,,수원,-
2025,04.03,18:30,삼성1vs3KIA,MS-T,,광주,-
2025,04.03,18:30,롯데4vs2한화,SPO-2T,,대전(신),-
2025,04.04,18:30,KIA2vs8LG,KN-T,,잠실,-
2025,04.04,18:30,KT2vs3SSG,SPO-T,,문학,-
2025,04.04,18:30,두산15vs3롯데,SPO-2T,,사직,-
2025,04.04,18:30,한화0vs5삼성,MS-T,,대구,-
2025,04.04,18:30,NC1vs5키움,TVING,,고척,-
2025,04.05,14:00,KIAvsLG,S-T,,잠실,우천취소
2025,04.05,14:00,한화7vs6삼성,K-2T,,대구,-
2025,04.05,17:00,KTvsSSG,MS-TSPO-2T,,문학,우천취소
2025,04.05,17:00,두산1vs6롯데,KN-T,,사직,-
2025,04.05,17:00,NC7vs5키움,SPO-TSS-T,,고척,-
2025,04.06,14:00,KIA1vs5LG,M-T,,잠실,-
2025,04.06,14:00,KT0vs1SSG,SPO-2T,,문학,-
2025,04.06,14:00,두산15vs12롯데,MS-T,,사직,-
2025,04.06,14:00,한화0vs10삼성,KN-T,,대구,-
2025,04.06,14:00,NC8vs2키움,SPO-T,,고척,-
2025,04.08,18:30,한화5vs6두산,SS-T,,잠실,-
2025,04.08,18:30,KIA5vs4롯데,SPO-T,,사직,-
2025,04.08,18:30,SSG3vs7삼성,TVING,,대구,-
2025,04.08,18:30,NC2vs3KT,MS-T,,수원,-
2025,04.08,18:30,LG13vs1키움,SPO-2T,,고척,-
2025,04.09,18:30,한화5vs4두산,SS-T,,잠실,-
2025,04.09,18:30,KIA3vs1롯데,SPO-T,,사직,-
2025,04.09,18:30,SSG3vs1삼성,KN-T,,대구,-
2025,04.09,18:30,NC1vs4KT,MS-T,,수원,-
2025,04.09,18:30,LG0vs4키움,SPO-2T,,고척,-
2025,04.10,18:30,한화7vs2두산,SS-T,,잠실,-
2025,04.10,18:30,KIA3vs8롯데,SPO-T,,사직,-
2025,04.10,18:30,SSG2vs3삼성,KN-T,,대구,-
2025,04.10,18:30,NC7vs0KT,MS-T,,수원,-
2025,04.10,18:30,LG7vs3키움,SPO-2T,,고척,-
2025,04.11,18:30,두산2vs5LG,SPO-T,,잠실,-
2025,04.11,18:30,롯데7vs5NC,KN-T,,사직,-
2025,04.11,18:30,삼성3vs5KT,SPO-2T,,수원,-
2025,04.11,18:30,SSG9vs3KIA,MS-T,,광주,-
2025,04.11,18:30,키움2vs12한화,SS-T,,대전(신),-
2025,04.12,14:00,두산0vs4LG,S-T,,잠실,-
2025,04.12,14:00,삼성vsKT,K-2T,,수원,우천취소
2025,04.12,17:00,롯데2vs0NC,SPO-2TKN-T,,사직,-
2025,04.12,17:00,SSGvsKIA,MS-T,,광주,우천취소
2025,04.12,17:00,키움6vs2한화,SPO-TSS-T,,대전(신),-
2025,04.13,14:00,두산9vs2LG,M-T,,잠실,-
2025,04.13,14:00,롯데6vs9NC,SS-T,,사직,-
2025,04.13,14:00,삼성5vs6KT,SPO-2TKN-T,,수원,-
2025,04.13,14:00,SSG5vs11KIA,MS-T,,광주,-
2025,04.13,14:00,키움1vs7한화,SPO-T,,대전(신),-
2025,04.15,18:30,삼성0vs3LG,MS-T,,잠실,-
2025,04.15,18:30,한화2vs0SSG,SPO-T,,문학,-
2025,04.15,18:30,키움6vs8롯데,SS-TSPO-2T,,사직,-
2025,04.15,18:30,두산vsNC,,,창원,기타
